Transaction,Item,date_time,weekday_weekend
25,Scandinavian,30-10-2016 10:55,weekend
26,Fudge,30-10-2016 10:56,weekend
27,Scandinavian,30-10-2016 11:02,weekend
28,Coffee,30-10-2016 11:03,weekend
28,Bread,30-10-2016 11:03,weekend
29,Bread,30-10-2016 11:05,weekend
29,Jam,30-10-2016 11:05,weekend
30,Bread,30-10-2016 11:07,weekend
31,Basket,30-10-2016 11:12,weekend
32,Scandinavian,30-10-2016 11:16,weekend
32,Muffin,30-10-2016 11:16,weekend
33,Coffee,30-10-2016 11:22,weekend
34,Coffee,30-10-2016 11:25,weekend
34,Muffin,30-10-2016 11:25,weekend
35,Muffin,30-10-2016 11:27,weekend
35,Scandinavian,30-10-2016 11:27,weekend
36,Tea,30-10-2016 11:33,weekend
36,Bread,30-10-2016 11:33,weekend
37,Coffee,30-10-2016 11:37,weekend
37,Bread,30-10-2016 11:37,weekend
38,Bread,30-10-2016 11:42,weekend
38,Tea,30-10-2016 11:42,weekend
39,Scandinavian,30-10-2016 11:44,weekend
40,Juice,30-10-2016 11:55,weekend
40,Tartine,30-10-2016 11:55,weekend
40,Coffee,30-10-2016 11:55,weekend
40,Muffin,30-10-2016 11:55,weekend
41,Scandinavian,30-10-2016 11:57,weekend
42,Bread,30-10-2016 11:57,weekend
42,Tea,30-10-2016 11:57,weekend
43,Scandinavian,30-10-2016 12:00,weekend
43,Fudge,30-10-2016 12:00,weekend
44,Coffee,30-10-2016 12:05,weekend
44,Medialuna,30-10-2016 12:05,weekend
45,Coffee,30-10-2016 12:08,weekend
45,Hot chocolate,30-10-2016 12:08,weekend
45,Medialuna,30-10-2016 12:08,weekend
46,Coffee,30-10-2016 12:09,weekend
47,Ella's Kitchen Pouches,30-10-2016 12:15,weekend
47,Juice,30-10-2016 12:15,weekend
47,Bread,30-10-2016 12:15,weekend
47,Muffin,30-10-2016 12:15,weekend
47,Jam,30-10-2016 12:15,weekend
48,Coffee,30-10-2016 12:17,weekend
49,Coffee,30-10-2016 12:23,weekend
49,Coffee,30-10-2016 12:23,weekend
49,Medialuna,30-10-2016 12:23,weekend
50,Bread,30-10-2016 12:25,weekend
50,Victorian Sponge,30-10-2016 12:25,weekend
51,Bread,30-10-2016 12:26,weekend
52,Scandinavian,30-10-2016 12:28,weekend
54,Bread,30-10-2016 12:33,weekend
55,Frittata,30-10-2016 12:38,weekend
55,Coffee,30-10-2016 12:38,weekend
55,Tea,30-10-2016 12:38,weekend
55,Hearty & Seasonal,30-10-2016 12:38,weekend
56,Coffee,30-10-2016 12:39,weekend
56,Frittata,30-10-2016 12:39,weekend
57,Scandinavian,30-10-2016 12:45,weekend
58,Victorian Sponge,30-10-2016 12:59,weekend
58,Hot chocolate,30-10-2016 12:59,weekend
58,Tea,30-10-2016 12:59,weekend
58,Soup,30-10-2016 12:59,weekend
59,Tea,30-10-2016 13:02,weekend
60,Cookies,30-10-2016 13:14,weekend
60,Coffee,30-10-2016 13:14,weekend
60,Juice,30-10-2016 13:14,weekend
60,Coffee,30-10-2016 13:14,weekend
61,Coffee,30-10-2016 13:15,weekend
62,Pick and Mix Bowls,30-10-2016 13:24,weekend
62,Hearty & Seasonal,30-10-2016 13:24,weekend
62,Hearty & Seasonal,30-10-2016 13:24,weekend
62,Coffee,30-10-2016 13:24,weekend
62,Smoothies,30-10-2016 13:24,weekend
62,Coffee,30-10-2016 13:24,weekend
63,Coffee,30-10-2016 13:33,weekend
64,Cake,30-10-2016 13:34,weekend
65,Tartine,30-10-2016 13:37,weekend
65,Mighty Protein,30-10-2016 13:37,weekend
65,Tea,30-10-2016 13:37,weekend
65,Coffee,30-10-2016 13:37,weekend
66,Hearty & Seasonal,30-10-2016 13:40,weekend
66,Frittata,30-10-2016 13:40,weekend
66,Mineral water,30-10-2016 13:40,weekend
67,Hearty & Seasonal,30-10-2016 13:46,weekend
67,Mineral water,30-10-2016 13:46,weekend
67,Muffin,30-10-2016 13:46,weekend
68,Frittata,30-10-2016 13:49,weekend
68,Coffee,30-10-2016 13:49,weekend
68,Tea,30-10-2016 13:49,weekend
68,Scandinavian,30-10-2016 13:49,weekend
68,Chicken sand,30-10-2016 13:49,weekend
69,Bread,30-10-2016 13:51,weekend
69,Tea,30-10-2016 13:51,weekend
69,Victorian Sponge,30-10-2016 13:51,weekend
70,Fudge,30-10-2016 13:54,weekend
71,Muffin,30-10-2016 13:56,weekend
72,Coffee,30-10-2016 14:21,weekend
72,Bread,30-10-2016 14:21,weekend
73,Bread,30-10-2016 14:22,weekend
74,Coffee,30-10-2016 14:24,weekend
74,Bread,30-10-2016 14:24,weekend
75,Jam,30-10-2016 14:32,weekend
75,Frittata,30-10-2016 14:32,weekend
76,Coffee,30-10-2016 14:32,weekend
77,Scandinavian,30-10-2016 14:35,weekend
78,Fudge,30-10-2016 14:42,weekend
79,Fudge,30-10-2016 14:45,weekend
79,Tea,30-10-2016 14:45,weekend
79,Coffee,30-10-2016 14:45,weekend
79,Muffin,30-10-2016 14:45,weekend
80,Frittata,30-10-2016 14:48,weekend
80,Bread,30-10-2016 14:48,weekend
80,Coffee,30-10-2016 14:48,weekend
81,Coffee,31-10-2016 08:28,weekday
81,Cake,31-10-2016 08:28,weekday
82,Tartine,31-10-2016 08:47,weekday
82,Bread,31-10-2016 08:47,weekday
83,Coffee,31-10-2016 08:57,weekday
83,Bread,31-10-2016 08:57,weekday
84,Bread,31-10-2016 09:04,weekday
85,Coffee,31-10-2016 09:10,weekday
85,Coffee,31-10-2016 09:10,weekday
85,Pastry,31-10-2016 09:10,weekday
85,Medialuna,31-10-2016 09:10,weekday
86,Juice,31-10-2016 09:11,weekday
87,Bread,31-10-2016 09:12,weekday
88,Coffee,31-10-2016 09:16,weekday
88,Coffee,31-10-2016 09:16,weekday
88,Jam,31-10-2016 09:16,weekday
89,Bread,31-10-2016 09:19,weekday
90,Bread,31-10-2016 09:20,weekday
90,Coffee,31-10-2016 09:20,weekday
91,Tea,31-10-2016 09:22,weekday
92,Coffee,31-10-2016 09:27,weekday
93,Bread,31-10-2016 09:29,weekday
93,Coke,31-10-2016 09:29,weekday
94,Coffee,31-10-2016 09:39,weekday
94,Coffee,31-10-2016 09:39,weekday
95,Tea,31-10-2016 09:43,weekday
95,Pastry,31-10-2016 09:43,weekday
95,Farm House,31-10-2016 09:43,weekday
96,Pastry,31-10-2016 09:46,weekday
96,Pastry,31-10-2016 09:46,weekday
96,Coffee,31-10-2016 09:46,weekday
96,Juice,31-10-2016 09:46,weekday
97,Coffee,31-10-2016 09:51,weekday
97,Pastry,31-10-2016 09:51,weekday
97,Juice,31-10-2016 09:51,weekday
98,Farm House,31-10-2016 09:52,weekday
99,Pastry,31-10-2016 09:56,weekday
99,Pastry,31-10-2016 09:56,weekday
99,Coffee,31-10-2016 09:56,weekday
99,Bread,31-10-2016 09:56,weekday
100,Bread,31-10-2016 09:58,weekday
101,Coffee,31-10-2016 10:04,weekday
101,Pastry,31-10-2016 10:04,weekday
102,Farm House,31-10-2016 10:04,weekday
103,Bread,31-10-2016 10:07,weekday
104,Coffee,31-10-2016 10:12,weekday
104,Coffee,31-10-2016 10:12,weekday
104,Medialuna,31-10-2016 10:12,weekday
104,Muffin,31-10-2016 10:12,weekday
104,Coffee,31-10-2016 10:12,weekday
105,Coffee,31-10-2016 10:21,weekday
105,Tea,31-10-2016 10:21,weekday
105,Cake,31-10-2016 10:21,weekday
106,Coffee,31-10-2016 10:24,weekday
106,Coffee,31-10-2016 10:24,weekday
106,Pastry,31-10-2016 10:24,weekday
106,Pastry,31-10-2016 10:24,weekday
107,Coffee,31-10-2016 10:27,weekday
107,Tea,31-10-2016 10:27,weekday
108,Farm House,31-10-2016 10:31,weekday
108,Muffin,31-10-2016 10:31,weekday
109,Bread,31-10-2016 10:35,weekday
109,Muffin,31-10-2016 10:35,weekday
109,Pastry,31-10-2016 10:35,weekday
110,Pastry,31-10-2016 10:36,weekday
111,Coffee,31-10-2016 10:38,weekday
112,Coffee,31-10-2016 10:59,weekday
113,Coffee,31-10-2016 11:02,weekday
113,Cake,31-10-2016 11:02,weekday
114,Farm House,31-10-2016 11:05,weekday
115,Bread,31-10-2016 11:08,weekday
116,Coffee,31-10-2016 11:11,weekday
117,Cookies,31-10-2016 11:13,weekday
117,Cake,31-10-2016 11:13,weekday
117,Coffee,31-10-2016 11:13,weekday
117,My-5 Fruit Shoot,31-10-2016 11:13,weekday
118,Cookies,31-10-2016 11:18,weekday
118,Cookies,31-10-2016 11:18,weekday
118,Tea,31-10-2016 11:18,weekday
118,Pastry,31-10-2016 11:18,weekday
119,Coffee,31-10-2016 11:25,weekday
119,Coffee,31-10-2016 11:25,weekday
119,Muffin,31-10-2016 11:25,weekday
120,Farm House,31-10-2016 11:29,weekday
121,Coffee,31-10-2016 11:30,weekday
121,Bread,31-10-2016 11:30,weekday
122,Cookies,31-10-2016 11:37,weekday
123,Jam,31-10-2016 11:42,weekday
123,Coffee,31-10-2016 11:42,weekday
123,Coffee,31-10-2016 11:42,weekday
123,Juice,31-10-2016 11:42,weekday
124,Coffee,31-10-2016 11:43,weekday
124,Soup,31-10-2016 11:43,weekday
125,Tea,31-10-2016 11:47,weekday
126,Coffee,31-10-2016 11:52,weekday
126,Jam,31-10-2016 11:52,weekday
127,Farm House,31-10-2016 11:53,weekday
128,Tartine,31-10-2016 11:55,weekday
128,Coffee,31-10-2016 11:55,weekday
128,Tea,31-10-2016 11:55,weekday
129,Coffee,31-10-2016 11:59,weekday
129,Coffee,31-10-2016 11:59,weekday
129,Cake,31-10-2016 11:59,weekday
130,Coffee,31-10-2016 12:03,weekday
130,Coffee,31-10-2016 12:03,weekday
130,Muffin,31-10-2016 12:03,weekday
131,Bread,31-10-2016 12:08,weekday
131,Coffee,31-10-2016 12:08,weekday
132,Tea,31-10-2016 12:14,weekday
132,Juice,31-10-2016 12:14,weekday
132,Pick and Mix Bowls,31-10-2016 12:14,weekday
132,Cookies,31-10-2016 12:14,weekday
133,Hearty & Seasonal,31-10-2016 12:16,weekday
133,Soup,31-10-2016 12:16,weekday
134,Hearty & Seasonal,31-10-2016 12:19,weekday
134,Tea,31-10-2016 12:19,weekday
134,Farm House,31-10-2016 12:19,weekday
135,Bread,31-10-2016 12:20,weekday
136,Tea,31-10-2016 12:27,weekday
136,Soup,31-10-2016 12:27,weekday
137,Farm House,31-10-2016 12:37,weekday
138,Soup,31-10-2016 12:43,weekday
138,Hearty & Seasonal,31-10-2016 12:43,weekday
138,Coffee,31-10-2016 12:43,weekday
139,Bread,31-10-2016 12:50,weekday
139,Muffin,31-10-2016 12:50,weekday
139,Hearty & Seasonal,31-10-2016 12:50,weekday
140,Coffee,31-10-2016 12:53,weekday
140,Coffee,31-10-2016 12:53,weekday
140,Cookies,31-10-2016 12:53,weekday
141,Bread,31-10-2016 12:54,weekday
142,Tea,31-10-2016 12:56,weekday
142,Muffin,31-10-2016 12:56,weekday
143,Tea,31-10-2016 12:59,weekday
144,Soup,31-10-2016 13:02,weekday
144,Hearty & Seasonal,31-10-2016 13:02,weekday
145,Coffee,31-10-2016 13:05,weekday
145,Tea,31-10-2016 13:05,weekday
145,Focaccia,31-10-2016 13:05,weekday
146,Sandwich,31-10-2016 13:08,weekday
147,Tartine,31-10-2016 13:09,weekday
147,Coffee,31-10-2016 13:09,weekday
148,Fudge,31-10-2016 13:21,weekday
148,Coffee,31-10-2016 13:21,weekday
148,Coffee,31-10-2016 13:21,weekday
149,Coffee,31-10-2016 13:26,weekday
150,Bread,31-10-2016 13:31,weekday
151,Coke,31-10-2016 13:50,weekday
151,Soup,31-10-2016 13:50,weekday
152,Muffin,31-10-2016 13:51,weekday
153,Tea,31-10-2016 13:55,weekday
153,Coffee,31-10-2016 13:55,weekday
153,Cookies,31-10-2016 13:55,weekday
153,Muffin,31-10-2016 13:55,weekday
154,Mighty Protein,31-10-2016 14:00,weekday
154,Hearty & Seasonal,31-10-2016 14:00,weekday
154,Coffee,31-10-2016 14:00,weekday
154,Coke,31-10-2016 14:00,weekday
155,Tea,31-10-2016 14:01,weekday
155,Muffin,31-10-2016 14:01,weekday
155,Sandwich,31-10-2016 14:01,weekday
156,Coffee,31-10-2016 14:04,weekday
156,Muffin,31-10-2016 14:04,weekday
157,Coffee,31-10-2016 14:05,weekday
157,Bread,31-10-2016 14:05,weekday
158,Coffee,31-10-2016 14:20,weekday
158,Muffin,31-10-2016 14:20,weekday
159,Bread,31-10-2016 14:22,weekday
159,Hot chocolate,31-10-2016 14:22,weekday
159,Cookies,31-10-2016 14:22,weekday
160,Mineral water,31-10-2016 14:35,weekday
160,Muffin,31-10-2016 14:35,weekday
161,Tea,31-10-2016 14:42,weekday
162,Muffin,31-10-2016 14:44,weekday
163,Coffee,31-10-2016 14:47,weekday
163,Juice,31-10-2016 14:47,weekday
164,Coffee,31-10-2016 14:47,weekday
164,Muffin,31-10-2016 14:47,weekday
165,Tea,31-10-2016 14:48,weekday
166,Coffee,31-10-2016 14:49,weekday
166,Muffin,31-10-2016 14:49,weekday
167,Sandwich,31-10-2016 14:50,weekday
167,Hearty & Seasonal,31-10-2016 14:50,weekday
167,Bread,31-10-2016 14:50,weekday
167,Mineral water,31-10-2016 14:50,weekday
168,Tea,31-10-2016 14:56,weekday
168,Coffee,31-10-2016 14:56,weekday
169,Mineral water,31-10-2016 15:05,weekday
170,Coffee,31-10-2016 15:16,weekday
171,Soup,31-10-2016 15:20,weekday
171,Tea,31-10-2016 15:20,weekday
172,Bread,31-10-2016 17:06,weekday
172,Coffee,31-10-2016 17:06,weekday
173,Bread,31-10-2016 17:08,weekday
173,Muffin,31-10-2016 17:08,weekday
174,Coffee,31-10-2016 17:40,weekday
175,Bread,31-10-2016 17:49,weekday
176,Cookies,31-10-2016 18:22,weekday
176,Coffee,31-10-2016 18:22,weekday
178,Coffee,1/11/2016 7:51,weekday
178,Pastry,1/11/2016 7:51,weekday
179,Coffee,1/11/2016 8:20,weekday
179,Pastry,1/11/2016 8:20,weekday
180,Jam,1/11/2016 8:22,weekday
180,Tea,1/11/2016 8:22,weekday
181,Tea,1/11/2016 8:45,weekday
181,Tea,1/11/2016 8:45,weekday
182,Pastry,1/11/2016 9:07,weekday
182,Pastry,1/11/2016 9:07,weekday
182,Ella's Kitchen Pouches,1/11/2016 9:07,weekday
183,Pastry,1/11/2016 9:09,weekday
184,Farm House,1/11/2016 9:26,weekday
184,Tea,1/11/2016 9:26,weekday
185,Tea,1/11/2016 9:29,weekday
185,Victorian Sponge,1/11/2016 9:29,weekday
186,Tea,1/11/2016 9:43,weekday
186,Pastry,1/11/2016 9:43,weekday
187,Bread,1/11/2016 10:02,weekday
188,Coffee,1/11/2016 10:04,weekday
189,Bread,1/11/2016 10:29,weekday
189,Coffee,1/11/2016 10:29,weekday
190,Coffee,1/11/2016 10:34,weekday
190,Pastry,1/11/2016 10:34,weekday
190,Pastry,1/11/2016 10:34,weekday
191,Soup,1/11/2016 10:50,weekday
191,Tea,1/11/2016 10:50,weekday
192,Bread,1/11/2016 10:56,weekday
193,Coffee,1/11/2016 11:00,weekday
194,Bread,1/11/2016 11:04,weekday
194,Bread,1/11/2016 11:04,weekday
195,Bread,1/11/2016 11:06,weekday
195,Scandinavian,1/11/2016 11:06,weekday
196,Bread,1/11/2016 11:08,weekday
196,Cake,1/11/2016 11:08,weekday
196,Cookies,1/11/2016 11:08,weekday
197,Coffee,1/11/2016 11:10,weekday
197,Coffee,1/11/2016 11:10,weekday
197,Tea,1/11/2016 11:10,weekday
198,Coffee,1/11/2016 11:11,weekday
198,Cookies,1/11/2016 11:11,weekday
199,Coffee,1/11/2016 11:13,weekday
200,Bread,1/11/2016 11:16,weekday
201,Coffee,1/11/2016 11:22,weekday
201,Pastry,1/11/2016 11:22,weekday
202,Coffee,1/11/2016 11:23,weekday
202,Coffee,1/11/2016 11:23,weekday
203,Coffee,1/11/2016 11:25,weekday
204,Scandinavian,1/11/2016 11:30,weekday
204,Bread,1/11/2016 11:30,weekday
205,Coffee,1/11/2016 11:49,weekday
205,Coffee,1/11/2016 11:49,weekday
205,Pastry,1/11/2016 11:49,weekday
206,Scandinavian,1/11/2016 11:54,weekday
206,Coffee,1/11/2016 11:54,weekday
206,Pastry,1/11/2016 11:54,weekday
207,Hearty & Seasonal,1/11/2016 12:03,weekday
207,Coffee,1/11/2016 12:03,weekday
207,Muffin,1/11/2016 12:03,weekday
208,Bread,1/11/2016 12:10,weekday
209,Coffee,1/11/2016 12:10,weekday
210,Scandinavian,1/11/2016 12:12,weekday
211,Soup,1/11/2016 12:15,weekday
211,Coffee,1/11/2016 12:15,weekday
212,Coffee,1/11/2016 12:20,weekday
212,Cookies,1/11/2016 12:20,weekday
212,Tartine,1/11/2016 12:20,weekday
213,Bread,1/11/2016 12:22,weekday
214,Bread,1/11/2016 12:26,weekday
214,Tea,1/11/2016 12:26,weekday
214,Tea,1/11/2016 12:26,weekday
215,Pastry,1/11/2016 12:30,weekday
215,Coffee,1/11/2016 12:30,weekday
216,Tartine,1/11/2016 12:31,weekday
216,Coffee,1/11/2016 12:31,weekday
217,Bread,1/11/2016 12:33,weekday
217,Cookies,1/11/2016 12:33,weekday
218,Sandwich,1/11/2016 12:37,weekday
219,Tartine,1/11/2016 12:41,weekday
220,Bread,1/11/2016 12:49,weekday
220,Pastry,1/11/2016 12:49,weekday
221,Bread,1/11/2016 12:53,weekday
221,Scandinavian,1/11/2016 12:53,weekday
222,Scandinavian,1/11/2016 13:08,weekday
223,Alfajores,1/11/2016 13:11,weekday
223,Coffee,1/11/2016 13:11,weekday
224,Coffee,1/11/2016 13:15,weekday
225,Coffee,1/11/2016 13:19,weekday
225,Coke,1/11/2016 13:19,weekday
225,Soup,1/11/2016 13:19,weekday
226,Cake,1/11/2016 13:21,weekday
227,Tea,1/11/2016 13:31,weekday
227,Sandwich,1/11/2016 13:31,weekday
227,Soup,1/11/2016 13:31,weekday
228,Coffee,1/11/2016 13:33,weekday
229,Hearty & Seasonal,1/11/2016 13:37,weekday
229,Bread,1/11/2016 13:37,weekday
230,Alfajores,1/11/2016 13:41,weekday
231,Cake,1/11/2016 13:45,weekday
232,Tea,1/11/2016 14:10,weekday
232,Tea,1/11/2016 14:10,weekday
232,Bread,1/11/2016 14:10,weekday
233,Coffee,1/11/2016 14:13,weekday
233,Tea,1/11/2016 14:13,weekday
233,Bread,1/11/2016 14:13,weekday
233,Soup,1/11/2016 14:13,weekday
234,Coffee,1/11/2016 14:14,weekday
234,Coffee,1/11/2016 14:14,weekday
235,Scandinavian,1/11/2016 14:18,weekday
236,Fudge,1/11/2016 14:22,weekday
237,Coffee,1/11/2016 14:25,weekday
237,Sandwich,1/11/2016 14:25,weekday
238,Tea,1/11/2016 14:37,weekday
238,Bread,1/11/2016 14:37,weekday
238,Cookies,1/11/2016 14:37,weekday
238,Pastry,1/11/2016 14:37,weekday
239,Muffin,1/11/2016 14:37,weekday
240,Scandinavian,1/11/2016 14:42,weekday
241,Jam,1/11/2016 14:54,weekday
241,Tea,1/11/2016 14:54,weekday
242,Juice,1/11/2016 15:02,weekday
242,Tea,1/11/2016 15:02,weekday
242,Alfajores,1/11/2016 15:02,weekday
243,Cake,1/11/2016 15:18,weekday
243,Muffin,1/11/2016 15:18,weekday
243,Coffee,1/11/2016 15:18,weekday
243,Soup,1/11/2016 15:18,weekday
244,Hot chocolate,1/11/2016 15:33,weekday
244,Cake,1/11/2016 15:33,weekday
244,Coffee,1/11/2016 15:33,weekday
245,Cake,1/11/2016 15:37,weekday
245,Cookies,1/11/2016 15:37,weekday
246,Tea,1/11/2016 15:48,weekday
246,Bread,1/11/2016 15:48,weekday
247,Alfajores,1/11/2016 16:07,weekday
247,Coffee,1/11/2016 16:07,weekday
247,Coffee,1/11/2016 16:07,weekday
247,Coffee,1/11/2016 16:07,weekday
247,Juice,1/11/2016 16:07,weekday
248,Coffee,1/11/2016 16:08,weekday
248,Tea,1/11/2016 16:08,weekday
248,Soup,1/11/2016 16:08,weekday
249,Hot chocolate,1/11/2016 16:10,weekday
250,Cookies,1/11/2016 16:10,weekday
251,Coffee,1/11/2016 16:26,weekday
251,Medialuna,1/11/2016 16:26,weekday
252,Bread,1/11/2016 16:28,weekday
252,Eggs,1/11/2016 16:28,weekday
253,Scandinavian,1/11/2016 17:46,weekday
254,Medialuna,1/11/2016 18:43,weekday
255,Coffee,2/11/2016 8:02,weekday
255,Coffee,2/11/2016 8:02,weekday
255,Pastry,2/11/2016 8:02,weekday
256,Coffee,2/11/2016 8:05,weekday
256,Bread,2/11/2016 8:05,weekday
257,Bread,2/11/2016 8:07,weekday
257,Coffee,2/11/2016 8:07,weekday
257,Pastry,2/11/2016 8:07,weekday
258,Coffee,2/11/2016 8:08,weekday
258,Pastry,2/11/2016 8:08,weekday
259,Pastry,2/11/2016 8:11,weekday
260,Coffee,2/11/2016 8:12,weekday
261,Coffee,2/11/2016 8:12,weekday
262,Coffee,2/11/2016 8:29,weekday
262,Hot chocolate,2/11/2016 8:29,weekday
262,Pastry,2/11/2016 8:29,weekday
263,Coke,2/11/2016 8:53,weekday
264,Coffee,2/11/2016 9:02,weekday
264,Jam,2/11/2016 9:02,weekday
265,Tea,2/11/2016 9:03,weekday
266,Bread,2/11/2016 9:05,weekday
266,Pastry,2/11/2016 9:05,weekday
267,Coffee,2/11/2016 9:18,weekday
267,Alfajores,2/11/2016 9:18,weekday
267,Farm House,2/11/2016 9:18,weekday
268,Tea,2/11/2016 9:22,weekday
268,Pastry,2/11/2016 9:22,weekday
269,Bread,2/11/2016 9:25,weekday
270,Coffee,2/11/2016 9:27,weekday
270,Jam,2/11/2016 9:27,weekday
271,Coffee,2/11/2016 9:33,weekday
271,Tea,2/11/2016 9:33,weekday
271,Coffee,2/11/2016 9:33,weekday
271,Pastry,2/11/2016 9:33,weekday
272,Farm House,2/11/2016 9:35,weekday
274,Coffee,2/11/2016 9:52,weekday
274,Bread,2/11/2016 9:52,weekday
274,Pastry,2/11/2016 9:52,weekday
275,Farm House,2/11/2016 9:53,weekday
276,Coffee,2/11/2016 9:54,weekday
276,Coffee,2/11/2016 9:54,weekday
276,Pastry,2/11/2016 9:54,weekday
277,Farm House,2/11/2016 10:12,weekday
278,Coffee,2/11/2016 10:13,weekday
278,Pastry,2/11/2016 10:13,weekday
279,Coffee,2/11/2016 10:15,weekday
280,Coffee,2/11/2016 10:17,weekday
280,Pastry,2/11/2016 10:17,weekday
281,Bread,2/11/2016 10:29,weekday
281,Bread,2/11/2016 10:29,weekday
282,Bread,2/11/2016 10:37,weekday
282,Coffee,2/11/2016 10:37,weekday
282,Pastry,2/11/2016 10:37,weekday
283,Pastry,2/11/2016 10:44,weekday
283,Coffee,2/11/2016 10:44,weekday
284,Coffee,2/11/2016 10:48,weekday
284,Farm House,2/11/2016 10:48,weekday
285,Farm House,2/11/2016 10:52,weekday
285,Farm House,2/11/2016 10:52,weekday
285,Pastry,2/11/2016 10:52,weekday
286,Bread,2/11/2016 10:53,weekday
286,Juice,2/11/2016 10:53,weekday
286,Alfajores,2/11/2016 10:53,weekday
287,Coffee,2/11/2016 10:56,weekday
287,Pastry,2/11/2016 10:56,weekday
288,Bread,2/11/2016 10:59,weekday
288,Alfajores,2/11/2016 10:59,weekday
289,Bread,2/11/2016 11:00,weekday
290,Coffee,2/11/2016 11:03,weekday
290,Cookies,2/11/2016 11:03,weekday
291,Coffee,2/11/2016 11:04,weekday
292,Cookies,2/11/2016 11:15,weekday
293,Hearty & Seasonal,2/11/2016 11:29,weekday
294,Coffee,2/11/2016 11:35,weekday
295,Jam,2/11/2016 11:39,weekday
295,Tartine,2/11/2016 11:39,weekday
295,Bread,2/11/2016 11:39,weekday
296,Farm House,2/11/2016 11:58,weekday
296,Scandinavian,2/11/2016 11:58,weekday
297,Hearty & Seasonal,2/11/2016 12:06,weekday
297,Coffee,2/11/2016 12:06,weekday
297,Muffin,2/11/2016 12:06,weekday
297,Scandinavian,2/11/2016 12:06,weekday
298,Tartine,2/11/2016 12:11,weekday
298,Pick and Mix Bowls,2/11/2016 12:11,weekday
298,Coffee,2/11/2016 12:11,weekday
298,Coke,2/11/2016 12:11,weekday
299,Bread,2/11/2016 12:14,weekday
300,Scandinavian,2/11/2016 12:18,weekday
300,Farm House,2/11/2016 12:18,weekday
300,Alfajores,2/11/2016 12:18,weekday
300,Coffee,2/11/2016 12:18,weekday
300,Coffee,2/11/2016 12:18,weekday
301,Juice,2/11/2016 12:24,weekday
301,Mineral water,2/11/2016 12:24,weekday
301,Soup,2/11/2016 12:24,weekday
302,Soup,2/11/2016 12:27,weekday
302,Tea,2/11/2016 12:27,weekday
303,Juice,2/11/2016 12:30,weekday
303,Tea,2/11/2016 12:30,weekday
303,Cookies,2/11/2016 12:30,weekday
303,Soup,2/11/2016 12:30,weekday
304,Hearty & Seasonal,2/11/2016 12:33,weekday
304,Tea,2/11/2016 12:33,weekday
305,Fudge,2/11/2016 12:35,weekday
306,Coffee,2/11/2016 12:39,weekday
306,Mineral water,2/11/2016 12:39,weekday
306,Juice,2/11/2016 12:39,weekday
306,Soup,2/11/2016 12:39,weekday
307,Hearty & Seasonal,2/11/2016 12:52,weekday
308,Hearty & Seasonal,2/11/2016 12:54,weekday
